@relation NBA_Teams
@attribute game_id NUMERIC
@attribute season_year NUMERIC
@attribute finals_match {'T','F'}
@attribute fg3_attempted_total NUMERIC
@attribute fg3_made_total NUMERIC
@attribute fg3_percent_average NUMERIC
@attribute fg_attempted_total NUMERIC
@attribute fg_made_total NUMERIC
@attribute fg_percent_average NUMERIC
@attribute ft_attempted_total NUMERIC
@attribute ft_made_total NUMERIC
@attribute ft_percent_average NUMERIC
@attribute total_minutes NUMERIC
@attribute opponent_id {Boston_Celtics,Phoenix_Suns,New_York_Knicks,Charlotte_Hornets,Utah_Jazz,Dallas_Mavericks,Toronto_Raptors,Portland_Trail_Blazers,Detroit_Pistons,Chicago_Bulls,Denver_Nuggets,Orlando_Magic,Cleveland_Cavaliers,Philadelphia_76ers,Oklahoma_City_Thunder,Brooklyn_Nets,Minnesota_Timberwolves,Los_Angeles_Clippers,Sacramento_Kings,Golden_State_Warriors,Los_Angeles_Lakers,San_Antonio_Spurs,New_Orleans_Pelicans,Milwaukee_Bucks,Memphis_Grizzlies,Houston_Rockets,Washington_Wizards,Atlanta_Hawks,Miami_Heat,Indiana_Pacers}
@attribute total_points_scored NUMERIC
@attribute total_players_accounted NUMERIC
@attribute average_time_played NUMERIC
@attribute team_label {Boston_Celtics,Phoenix_Suns,New_York_Knicks,Charlotte_Hornets,Utah_Jazz,Dallas_Mavericks,Toronto_Raptors,Portland_Trail_Blazers,Detroit_Pistons,Chicago_Bulls,Denver_Nuggets,Orlando_Magic,Cleveland_Cavaliers,Philadelphia_76ers,Oklahoma_City_Thunder,Brooklyn_Nets,Minnesota_Timberwolves,Los_Angeles_Clippers,Sacramento_Kings,Golden_State_Warriors,Los_Angeles_Lakers,San_Antonio_Spurs,New_Orleans_Pelicans,Milwaukee_Bucks,Memphis_Grizzlies,Houston_Rockets,Washington_Wizards,Atlanta_Hawks,Miami_Heat,Indiana_Pacers}
@data
0190, 13, F, 20.0, 5.0, 0.25, 93.0, 36.0, 0.3870967741935484, 12.0, 10.0, 0.8333333333333334, 14400.0, 'Boston_Celtics', 87.0, 10.0, 1440.0, Atlanta_Hawks
0213, 13, F, 22.0, 9.0, 0.4090909090909091, 73.0, 30.0, 0.410958904109589, 27.0, 23.0, 0.8518518518518519, 14400.0, 'Orlando_Magic', 92.0, 13.0, 1107.6923076923076, Atlanta_Hawks
0221, 13, F, 22.0, 8.0, 0.36363636363636365, 75.0, 32.0, 0.4266666666666667, 15.0, 12.0, 0.8, 14400.0, 'Houston_Rockets', 84.0, 10.0, 1440.0, Atlanta_Hawks
0231, 13, F, 15.0, 3.0, 0.2, 73.0, 31.0, 0.4246575342465753, 30.0, 23.0, 0.7666666666666667, 14400.0, 'Dallas_Mavericks', 88.0, 11.0, 1309.090909090909, Atlanta_Hawks
0241, 13, F, 17.0, 7.0, 0.4117647058823529, 81.0, 36.0, 0.4444444444444444, 26.0, 22.0, 0.8461538461538461, 14400.0, 'Washington_Wizards', 101.0, 10.0, 1440.0, Atlanta_Hawks
0258, 13, F, 31.0, 11.0, 0.3548387096774194, 96.0, 42.0, 0.4375, 5.0, 5.0, 1.0, 14401.0, 'San_Antonio_Spurs', 100.0, 11.0, 1309.1818181818182, Atlanta_Hawks
0270, 13, F, 23.0, 12.0, 0.5217391304347826, 82.0, 42.0, 0.5121951219512195, 16.0, 11.0, 0.6875, 14401.0, 'Los_Angeles_Clippers', 107.0, 10.0, 1440.1, Atlanta_Hawks
0282, 13, F, 23.0, 8.0, 0.34782608695652173, 91.0, 47.0, 0.5164835164835165, 11.0, 6.0, 0.5454545454545454, 14400.0, 'Cleveland_Cavaliers', 108.0, 12.0, 1200.0, Atlanta_Hawks
0313, 13, F, 26.0, 9.0, 0.34615384615384615, 87.0, 31.0, 0.3563218390804598, 27.0, 21.0, 0.7777777777777778, 14400.0, 'Oklahoma_City_Thunder', 92.0, 10.0, 1440.0, Atlanta_Hawks
0332, 13, F, 21.0, 7.0, 0.3333333333333333, 89.0, 38.0, 0.42696629213483145, 24.0, 18.0, 0.75, 15900.0, 'Washington_Wizards', 101.0, 10.0, 1590.0, Atlanta_Hawks
