@relation 1610612745
@attribute game_id NUMERIC
@attribute fg3_attempted_total NUMERIC
@attribute fg3_made_total NUMERIC
@attribute fg3_percent_average NUMERIC
@attribute fg_attempted_total NUMERIC
@attribute fg_made_total NUMERIC
@attribute fg_percent_average NUMERIC
@attribute ft_attempted_total NUMERIC
@attribute ft_made_total NUMERIC
@attribute ft_percent_average NUMERIC
@attribute total_minutes NUMERIC
@attribute opponent_id {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute total_players_accounted NUMERIC
@attribute average_time_played NUMERIC
21300388, 22.0, 4.0, 0.18181818181818182, 84.0, 32.0, 0.38095238095238093, 24.0, 13.0, 0.5416666666666666, 14400.0, '1610612754', 81.0, 11.0, 1309.090909090909
21300396, 23.0, 9.0, 0.391304347826087, 79.0, 44.0, 0.5569620253164557, 23.0, 17.0, 0.7391304347826086, 14401.0, '1610612765', 114.0, 10.0, 1440.1
21300412, 19.0, 7.0, 0.3684210526315789, 70.0, 38.0, 0.5428571428571428, 29.0, 21.0, 0.7241379310344828, 14400.0, '1610612742', 104.0, 8.0, 1800.0
21300421, 24.0, 12.0, 0.5, 86.0, 45.0, 0.5232558139534884, 18.0, 9.0, 0.5, 14400.0, '1610612759', 111.0, 10.0, 1440.0
21300424, 24.0, 5.0, 0.20833333333333334, 71.0, 31.0, 0.43661971830985913, 40.0, 33.0, 0.825, 14400.0, '1610612763', 100.0, 9.0, 1600.0
21300442, 26.0, 6.0, 0.23076923076923078, 77.0, 38.0, 0.4935064935064935, 32.0, 25.0, 0.78125, 14400.0, '1610612740', 107.0, 9.0, 1600.0
21300450, 28.0, 7.0, 0.25, 85.0, 31.0, 0.36470588235294116, 31.0, 17.0, 0.5483870967741935, 14400.0, '1610612760', 86.0, 11.0, 1309.090909090909
21300464, 28.0, 7.0, 0.25, 81.0, 39.0, 0.48148148148148145, 33.0, 21.0, 0.6363636363636364, 14400.0, '1610612758', 106.0, 8.0, 1800.0
21300485, 26.0, 10.0, 0.38461538461538464, 74.0, 34.0, 0.4594594594594595, 28.0, 24.0, 0.8571428571428571, 14400.0, '1610612752', 102.0, 9.0, 1600.0
21300526, 28.0, 7.0, 0.25, 86.0, 39.0, 0.45348837209302323, 50.0, 28.0, 0.56, 14400.0, '1610612747', 113.0, 10.0, 1440.0
21300533, 19.0, 6.0, 0.3157894736842105, 70.0, 29.0, 0.4142857142857143, 22.0, 16.0, 0.7272727272727273, 14400.0, '1610612737', 80.0, 10.0, 1440.0
21300544, 18.0, 8.0, 0.4444444444444444, 73.0, 38.0, 0.5205479452054794, 42.0, 30.0, 0.7142857142857143, 14401.0, '1610612764', 114.0, 9.0, 1600.111111111111
21300556, 19.0, 8.0, 0.42105263157894735, 79.0, 37.0, 0.46835443037974683, 34.0, 22.0, 0.6470588235294118, 14400.0, '1610612738', 104.0, 9.0, 1600.0
